Optimizer,ModelType,Round_Fold,Client,Epoch,TimeSec,TrainAcc,ValAcc,TrainLoss,ValLoss,LR
Adagrad,FEDERATED CNN,5,5,5,5.789762259,0.8222416639,0.4934268296,0.4959290326,1.75630331,0.001000000047
Adagrad,FEDERATED CNN,5,5,6,5.54636097,0.8327495456,0.4934268296,0.4553551376,1.75630331,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,1,20.85628605,0.3420822322,0.2620508373,1.343716264,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,2,5.738938808,0.4103237092,0.2620508373,1.274739742,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,3,5.724131823,0.4706911743,0.2620508373,1.222817302,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,4,5.717952967,0.5083114505,0.2620508373,1.20217979,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,5,5.702991247,0.5310586095,0.2620508373,1.177077532,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,1,6,5.762360334,0.55905509,0.2620508373,1.154614687,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,1,18.55910134,0.2475940436,0.2620508373,1.373407364,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,2,5.650481224,0.2808398902,0.2620508373,1.346614122,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,3,5.468126059,0.412073493,0.2620508373,1.275091648,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,4,5.685228109,0.496937871,0.2620508373,1.214664817,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,5,5.704684258,0.535433054,0.2620508373,1.184842229,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,2,6,5.553367853,0.557305336,0.2620508373,1.170636296,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,1,21.50518751,0.2889667153,0.2620508373,1.377218723,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,2,5.668250561,0.380035013,0.2620508373,1.315003037,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,3,5.272825956,0.4474605918,0.2620508373,1.269454837,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,4,5.422312737,0.5008756518,0.2620508373,1.225530982,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,5,5.671448946,0.5280210376,0.2620508373,1.204974294,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,3,6,5.541861773,0.55341506,0.2620508373,1.193506718,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,1,19.21775532,0.2880910635,0.2620508373,1.357944369,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,2,5.679281473,0.3476357162,0.2620508373,1.304317236,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,3,5.475992203,0.4176882803,0.2620508373,1.269097447,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,4,5.660826445,0.4273204803,0.2620508373,1.252767205,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,5,5.63114953,0.4754815996,0.2620508373,1.222904205,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,4,6,5.717855453,0.5070052743,0.2620508373,1.20439899,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,1,19.376647,0.3415061235,0.2620508373,1.332287073,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,2,5.535536289,0.4089317024,0.2620508373,1.282861352,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,3,5.6664505,0.4702276587,0.2620508373,1.23704505,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,4,5.58270216,0.491243422,0.2620508373,1.214211345,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,5,5.646553993,0.5070052743,0.2620508373,1.190696359,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,1,5,6,5.406368256,0.5262696743,0.2620508373,1.174445152,1.41233182,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,1,18.66499615,0.557305336,0.342681855,1.165614367,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,2,5.542680264,0.5835520625,0.342681855,1.150864959,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,3,5.737243891,0.595800519,0.342681855,1.1207093,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,4,5.788810492,0.5783027411,0.342681855,1.11563313,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,5,5.807847261,0.5984252095,0.342681855,1.108525515,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,1,6,5.495874405,0.6132983565,0.342681855,1.092087626,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,1,18.89261436,0.551181078,0.342681855,1.168242097,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,2,5.356449366,0.5695537925,0.342681855,1.157241464,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,3,5.210065842,0.581802249,0.342681855,1.13206315,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,4,5.638232946,0.5905511975,0.342681855,1.121961594,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,5,5.661447048,0.594050765,0.342681855,1.111933827,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,2,6,5.336285591,0.608923912,0.342681855,1.088891745,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,1,19.33312941,0.5429071784,0.342681855,1.18083322,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,2,5.388762951,0.5735551715,0.342681855,1.154000044,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,3,5.544536114,0.5683012009,0.342681855,1.144712687,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,4,5.600646019,0.6042031646,0.342681855,1.121607184,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,5,5.520843983,0.6190893054,0.342681855,1.10616374,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,3,6,5.674461603,0.6392294168,0.342681855,1.08743906,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,1,19.2944994,0.5429071784,0.342681855,1.169664383,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,2,5.593589783,0.5297723413,0.342681855,1.176153421,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,3,5.411478758,0.5639229417,0.342681855,1.145447731,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,4,5.599509478,0.5744308233,0.342681855,1.138083816,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,5,5.327397346,0.5875656605,0.342681855,1.111364126,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,4,6,5.602381706,0.5971978903,0.342681855,1.123016834,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,1,19.4531157,0.5516637564,0.342681855,1.173031569,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,2,5.59909153,0.5823117495,0.342681855,1.148761392,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,3,5.6134727,0.5866900086,0.342681855,1.125994086,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,4,5.617032528,0.6024518609,0.342681855,1.124449015,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,5,5.458634377,0.6164623499,0.342681855,1.107055068,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,2,5,6,5.611037493,0.6269702315,0.342681855,1.100454092,1.320541501,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,1,18.9285121,0.609798789,0.4040315449,1.0876441,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,2,5.677329063,0.62642169,0.4040315449,1.070565224,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,3,5.651484013,0.632545948,0.4040315449,1.061827064,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,4,5.421331167,0.635170579,0.4040315449,1.058508039,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,5,5.754079103,0.6526684165,0.4040315449,1.038559675,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,1,6,5.692747831,0.657042861,0.4040315449,1.033352733,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,2,1,19.30559182,0.6211723685,0.4040315449,1.078258514,1.257747769,0.001000000047
Adagrad,FEDERATED QUANTUM CNN,3,2,2,5.602851391,0.604549408,0.4040315449,1.084973812,1.257747769,0.001000000047
